State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.9682154116847567	0.01867146582307569	1.2025321073155759E-4	0.0	0.0	0.0	0.0	0.007524592725598681	0.005183574136976779	2.84702418860697E-4
2	0.0018153385051712012	0.9913360235135908	0.001671869589982801	8.17219105200926E-4	0.0	1.927413936844327E-6	2.660276231105818E-6	5.20943217846868E-4	0.0034375742725732492	3.964441054663352E-4
3	4.726726051433852E-4	0.06531942123183636	0.9293916537056263	9.189110477197726E-4	3.0522669487795424E-4	2.8447160514861254E-5	6.534072507361857E-5	0.0022945341888630784	2.7523438994886184E-4	9.285582503958048E-4
4	3.024603340977427E-5	0.006722988209125634	2.2363225427367316E-4	0.9670338306818617	0.01662254931990443	8.334076895828601E-4	9.079833867091161E-5	4.51714658308222E-4	6.25905530661439E-4	0.007364927284201304
5	0.0	0.0	1.0792770991297044E-4	0.03177262437295955	0.9383059861232412	0.028643430325331416	0.0	8.570798423192396E-5	1.1277767922480123E-4	9.715458050980405E-4
6	7.592192328389696E-6	0.0	8.075082936852422E-6	0.007839760480811355	0.13375329314245174	0.7893340948292913	0.05206320862833159	3.0418949472207186E-4	0.0	0.016689786149126532
7	0.0	4.434333974592868E-4	1.0509041045281618E-4	7.89533323098393E-4	0.0	0.05990403230288804	0.8418803109933811	0.054628619492821606	0.002309410464864704	0.03993956961503402
8	0.06889576071003353	0.04857147342698405	0.005878175095524569	0.0057478985816703685	0.0	5.795675601903925E-4	0.06507078590784944	0.6990873444093914	0.10342874963311101	0.002740244675245359
9	0.0024898988493087006	0.016877704463410227	2.0601092547850153E-5	3.4883712472920944E-4	2.9365651612774542E-5	0.0	1.6858538800723155E-4	0.005667472853209366	0.9576384488201934	0.016759085756981172
10	0.0012885094613332819	0.014432099097271086	0.0010371484957935647	0.03374473544261255	0.002549666860491521	0.008917846420493042	0.019387212572160483	0.0014155938783343286	0.1271951484481974	0.7900320393233127
